ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-09-08T00:00:00.000000000Z,35,2,974,50.513000000,51.299000000,49.843000000,51.266000000,8087400,AVGO
2022-09-08T00:00:00.000000000Z,35,2,9684,15.408750000,15.717500000,15.408750000,15.637500000,547108,SCHG
2022-09-08T00:00:00.000000000Z,35,2,11597,286.000000000,291.290000000,283.360000000,290.050000000,415722,VRTX
2022-09-08T00:00:00.000000000Z,35,2,1533,20.090000000,20.410000000,19.890000000,20.410000000,52378,BOTZ
2022-09-08T00:00:00.000000000Z,35,2,7027,888.300000000,930.910000000,863.700000000,924.100000000,288099,MELI
2022-09-08T00:00:00.000000000Z,35,2,7042,159.960000000,162.580000000,157.740000000,162.530000000,5603222,META
2022-09-08T00:00:00.000000000Z,35,2,7350,257.930000000,260.430000000,254.790000000,259.740000000,7166199,MSFT
2022-09-08T00:00:00.000000000Z,35,2,10113,332.050000000,334.490000000,327.850000000,331.000000000,422647,SNPS
2022-09-08T00:00:00.000000000Z,35,2,29,155.950000000,156.430000000,152.680000000,154.620000000,20586768,AAPL
2022-09-08T00:00:00.000000000Z,35,2,7605,22.786000000,22.900000000,22.130000000,22.773000000,15555130,NFLX
2022-09-08T00:00:00.000000000Z,35,2,2110,41.490000000,42.270000000,40.950000000,42.270000000,55375,CIBR
2022-09-08T00:00:00.000000000Z,35,2,6087,46.000000000,46.240000000,45.250000000,46.000000000,14933,JEPQ
2022-09-08T00:00:00.000000000Z,35,2,4827,109.350000000,109.600000000,107.160000000,108.650000000,8977636,GOOGL
2022-09-08T00:00:00.000000000Z,35,2,2519,171.960000000,182.000000000,169.260000000,181.310000000,963647,CRWD
2022-09-08T00:00:00.000000000Z,35,2,9050,123.200000000,124.190000000,121.550000000,123.320000000,341154,QQQM
2022-09-08T00:00:00.000000000Z,35,2,5453,122.860000000,127.200000000,122.770000000,127.200000000,1712749,IBB
2022-09-08T00:00:00.000000000Z,35,2,10899,13.750000000,14.205000000,13.320000000,14.120000000,49198088,TQQQ
2022-09-08T00:00:00.000000000Z,35,2,5918,209.270000000,217.380000000,207.720000000,215.000000000,734833,ISRG
2022-09-08T00:00:00.000000000Z,35,2,825,476.710000000,483.390000000,460.510000000,482.500000000,418356,ASML
2022-09-08T00:00:00.000000000Z,35,2,584,129.160000000,130.450000000,127.100000000,130.450000000,10081799,AMZN
2022-09-08T00:00:00.000000000Z,35,2,9019,23.010000000,23.525000000,22.560000000,23.440000000,1734244,QLD
2022-09-08T00:00:00.000000000Z,35,2,9096,17.060000000,17.220000000,16.880000000,17.140000000,334865,QYLD
2022-09-08T00:00:00.000000000Z,35,2,525,79.940000000,83.490000000,79.240000000,83.480000000,11882063,AMD
2022-09-08T00:00:00.000000000Z,35,2,8991,127.620000000,129.800000000,125.900000000,129.200000000,2332017,QCOM
2022-09-08T00:00:00.000000000Z,35,2,5484,24.750000000,24.750000000,24.470000000,24.470000000,17,IBIT
2022-09-08T00:00:00.000000000Z,35,2,9046,298.490000000,301.870000000,295.460000000,301.230000000,8929297,QQQ
2022-09-08T00:00:00.000000000Z,35,2,9681,24.316666667,24.480000000,24.066666667,24.480000000,797901,SCHD
2022-09-08T00:00:00.000000000Z,35,2,10167,120.103333333,122.746666667,118.333333333,122.746666667,1272684,SOXX
2022-09-08T00:00:00.000000000Z,35,2,6768,43.570000000,44.457000000,42.400000000,43.960000000,5086730,LRCX
2022-09-09T00:00:00.000000000Z,35,2,6090,46.250000000,46.850000000,46.250000000,46.850000000,30544,JEPQ
2022-09-09T00:00:00.000000000Z,35,2,11643,40.616666667,41.235000000,40.616666667,41.145000000,538908,VUG
2022-09-09T00:00:00.000000000Z,35,2,5486,24.490000000,24.490000000,23.310000000,23.310000000,37,IBIT
2022-09-09T00:00:00.000000000Z,35,2,6771,44.481000000,45.285000000,44.229000000,45.049000000,4773480,LRCX
2022-09-09T00:00:00.000000000Z,35,2,8991,129.870000000,132.610000000,129.870000000,132.270000000,2145481,QCOM
2022-09-09T00:00:00.000000000Z,35,2,5634,56.644000000,58.286000000,56.644000000,57.950000000,1136455,IGV
2022-09-09T00:00:00.000000000Z,35,2,4829,109.020000000,110.990000000,108.600000000,110.500000000,7723443,GOOGL
2022-09-09T00:00:00.000000000Z,35,2,1533,20.410000000,21.090000000,20.410000000,21.090000000,81838,BOTZ
2022-09-09T00:00:00.000000000Z,35,2,7884,14.185000000,14.473000000,14.106000000,14.374000000,77856740,NVDA
2022-09-09T00:00:00.000000000Z,35,2,7606,22.928000000,23.470000000,22.840000000,23.253000000,17900570,NFLX
2022-09-09T00:00:00.000000000Z,35,2,7030,932.990000000,976.070000000,932.540000000,970.000000000,372217,MELI
2022-09-09T00:00:00.000000000Z,35,2,7078,39.704000000,40.298000000,39.704000000,40.198000000,118155,MGK
2022-09-09T00:00:00.000000000Z,35,2,974,51.499000000,52.596000000,51.212000000,52.250000000,8758070,AVGO
2022-09-09T00:00:00.000000000Z,35,2,584,130.850000000,133.640000000,130.650000000,133.260000000,10448719,AMZN
2022-09-09T00:00:00.000000000Z,35,2,10976,292.100000000,299.950000000,291.240000000,298.400000000,9906337,TSLA
2022-09-09T00:00:00.000000000Z,35,2,10111,336.160000000,342.370000000,334.120000000,339.250000000,406761,SNPS
2022-09-09T00:00:00.000000000Z,35,2,2519,181.390000000,191.500000000,181.390000000,190.510000000,1325591,CRWD
